"Date","Time","Nitrogen_Dioxide","Status_2","Unit_2"
"20-12-2018","01:00",17.65635,"R","ugm-3"
"20-12-2018","02:00",14.84664,"R","ugm-3"
"20-12-2018","03:00",9.97395,"R","ugm-3"
"20-12-2018","04:00",14.8957,"R","ugm-3"
"20-12-2018","05:00",10.47323,"R","ugm-3"
"20-12-2018","06:00",18.37945,"R","ugm-3"
"20-12-2018","07:00",39.67416,"R","ugm-3"
"20-12-2018","08:00",35.18565,"R","ugm-3"
"20-12-2018","09:00",47.76227,"R","ugm-3"
"20-12-2018","10:00",35.097,"R","ugm-3"
"20-12-2018","11:00",32.9882,"R","ugm-3"
"20-12-2018","12:00",27.83061,"R","ugm-3"
"20-12-2018","13:00",31.71888,"R","ugm-3"
"20-12-2018","14:00",36.68432,"R","ugm-3"
"20-12-2018","15:00",33.14229,"R","ugm-3"
"20-12-2018","16:00",47.47715,"R","ugm-3"
"20-12-2018","17:00",39.55123,"R","ugm-3"
"20-12-2018","18:00",49.96353,"R","ugm-3"
"20-12-2018","19:00",46.71072,"R","ugm-3"
"20-12-2018","20:00",38.58531,"R","ugm-3"
"20-12-2018","21:00",40.85842,"R","ugm-3"
"20-12-2018","22:00",33.5373,"R","ugm-3"
"20-12-2018","23:00",23.45746,"R","ugm-3"
"20-12-2018","24:00",20.81558,"R","ugm-3"
"03-01-2019","01:00",28.12289,"R","ugm-3"
"03-01-2019","02:00",14.43474,"R","ugm-3"
"03-01-2019","03:00",16.1204,"R","ugm-3"
"03-01-2019","04:00",13.21196,"R","ugm-3"
"03-01-2019","05:00",12.25123,"R","ugm-3"
"03-01-2019","06:00",17.53651,"R","ugm-3"
"03-01-2019","07:00",37.83489,"R","ugm-3"
"03-01-2019","08:00",39.73969,"R","ugm-3"
"03-01-2019","09:00",49.75449,"R","ugm-3"
"03-01-2019","10:00",64.1527,"R","ugm-3"
"03-01-2019","11:00",25.32288,"R","ugm-3"
"03-01-2019","12:00",24.55625,"R","ugm-3"
"03-01-2019","13:00",26.41025,"R","ugm-3"
"03-01-2019","14:00",30.27981,"R","ugm-3"
"03-01-2019","15:00",34.28229,"R","ugm-3"
"03-01-2019","16:00",46.51364,"R","ugm-3"
"03-01-2019","17:00",52.31926,"R","ugm-3"
"03-01-2019","18:00",35.70723,"R","ugm-3"
"03-01-2019","19:00",40.67205,"R","ugm-3"
"03-01-2019","20:00",70.22065,"R","ugm-3"
"03-01-2019","21:00",74.55898,"R","ugm-3"
"03-01-2019","22:00",66.81685,"R","ugm-3"
"03-01-2019","23:00",65.04042,"R","ugm-3"
"03-01-2019","24:00",50.93391,"R","ugm-3"
"19-03-2020","01:00",15.95599,"R","ugm-3"
"19-03-2020","02:00",16.9328,"R","ugm-3"
"19-03-2020","03:00",8.58706,"R","ugm-3"
"19-03-2020","04:00",6.18237,"R","ugm-3"
"19-03-2020","05:00",10.52123,"R","ugm-3"
"19-03-2020","06:00",16.56133,"R","ugm-3"
"19-03-2020","07:00",28.85186,"R","ugm-3"
"19-03-2020","08:00",36.23394,"R","ugm-3"
"19-03-2020","09:00",20.03992,"R","ugm-3"
"19-03-2020","10:00",21.59598,"R","ugm-3"
"19-03-2020","11:00",12.81513,"R","ugm-3"
"19-03-2020","12:00",10.62589,"R","ugm-3"
"19-03-2020","13:00",14.98975,"R","ugm-3"
"19-03-2020","14:00",33.57122,"R","ugm-3"
"19-03-2020","15:00",33.84994,"R","ugm-3"
"19-03-2020","16:00",28.96282,"R","ugm-3"
"19-03-2020","17:00",32.91344,"R","ugm-3"
"19-03-2020","18:00",35.20364,"R","ugm-3"
"19-03-2020","19:00",38.64654,"R","ugm-3"
"19-03-2020","20:00",21.63207,"R","ugm-3"
"19-03-2020","21:00",13.34985,"R","ugm-3"
"19-03-2020","22:00",11.08804,"R","ugm-3"
"19-03-2020","23:00",10.16028,"R","ugm-3"
"19-03-2020","24:00",7.36239,"R","ugm-3"
"26-03-2020","01:00",29.59102,"R","ugm-3"
"26-03-2020","02:00",24.48959,"R","ugm-3"
"26-03-2020","03:00",23.24831,"R","ugm-3"
"26-03-2020","04:00",22.19233,"R","ugm-3"
"26-03-2020","05:00",24.81631,"R","ugm-3"
"26-03-2020","06:00",31.92596,"R","ugm-3"
"26-03-2020","07:00",43.15281,"R","ugm-3"
"26-03-2020","08:00",33.80612,"R","ugm-3"
"26-03-2020","09:00",27.64452,"R","ugm-3"
"26-03-2020","10:00",26.36819,"R","ugm-3"
"26-03-2020","11:00",NA,"R","ugm-3"
"26-03-2020","12:00",17.117,"R","ugm-3"
"26-03-2020","13:00",14.3504,"R","ugm-3"
"26-03-2020","14:00",12.45085,"R","ugm-3"
"26-03-2020","15:00",12.43382,"R","ugm-3"
"26-03-2020","16:00",11.25096,"R","ugm-3"
"26-03-2020","17:00",13.60573,"R","ugm-3"
"26-03-2020","18:00",16.81025,"R","ugm-3"
"26-03-2020","19:00",15.60027,"R","ugm-3"
"26-03-2020","20:00",16.69312,"R","ugm-3"
"26-03-2020","21:00",11.73636,"R","ugm-3"
"26-03-2020","22:00",11.13335,"R","ugm-3"
"26-03-2020","23:00",13.00329,"R","ugm-3"
"26-03-2020","24:00",16.84138,"R","ugm-3"
"29-06-2020","01:00",3.76696,"R","ugm-3"
"29-06-2020","02:00",3.77249,"R","ugm-3"
"29-06-2020","03:00",2.9861,"R","ugm-3"
"29-06-2020","04:00",2.61861,"R","ugm-3"
"29-06-2020","05:00",3.55071,"R","ugm-3"
"29-06-2020","06:00",7.44548,"R","ugm-3"
"29-06-2020","07:00",11.66351,"R","ugm-3"
"29-06-2020","08:00",12.4829,"R","ugm-3"
"29-06-2020","09:00",9.20993,"R","ugm-3"
"29-06-2020","10:00",10.39638,"R","ugm-3"
"29-06-2020","11:00",10.28161,"R","ugm-3"
"29-06-2020","12:00",8.00038,"R","ugm-3"
"29-06-2020","13:00",10.61685,"R","ugm-3"
"29-06-2020","14:00",7.76719,"R","ugm-3"
"29-06-2020","15:00",11.3246,"R","ugm-3"
"29-06-2020","16:00",11.37735,"R","ugm-3"
"29-06-2020","17:00",9.87811,"R","ugm-3"
"29-06-2020","18:00",11.21034,"R","ugm-3"
"29-06-2020","19:00",8.30401,"R","ugm-3"
"29-06-2020","20:00",6.25678,"R","ugm-3"
"29-06-2020","21:00",8.61873,"R","ugm-3"
"29-06-2020","22:00",7.12501,"R","ugm-3"
"29-06-2020","23:00",6.49505,"R","ugm-3"
"29-06-2020","24:00",4.45792,"R","ugm-3"
"10-11-2020","01:00",34.65283,"R","ugm-3"
"10-11-2020","02:00",12.02511,"R","ugm-3"
"10-11-2020","03:00",8.69676,"R","ugm-3"
"10-11-2020","04:00",7.2906,"R","ugm-3"
"10-11-2020","05:00",9.57154,"R","ugm-3"
"10-11-2020","06:00",20.40962,"R","ugm-3"
"10-11-2020","07:00",45.28484,"R","ugm-3"
"10-11-2020","08:00",66.38434,"R","ugm-3"
"10-11-2020","09:00",58.05618,"R","ugm-3"
"10-11-2020","10:00",41.00543,"R","ugm-3"
"10-11-2020","11:00",25.21208,"R","ugm-3"
"10-11-2020","12:00",16.04903,"R","ugm-3"
"10-11-2020","13:00",24.43291,"R","ugm-3"
"10-11-2020","14:00",32.04929,"R","ugm-3"
"10-11-2020","15:00",28.66204,"R","ugm-3"
"10-11-2020","16:00",38.10523,"R","ugm-3"
"10-11-2020","17:00",58.96237,"R","ugm-3"
"10-11-2020","18:00",63.012,"R","ugm-3"
"10-11-2020","19:00",57.0884,"R","ugm-3"
"10-11-2020","20:00",48.97975,"R","ugm-3"
"10-11-2020","21:00",31.22414,"R","ugm-3"
"10-11-2020","22:00",37.86169,"R","ugm-3"
"10-11-2020","23:00",30.2567,"R","ugm-3"
"10-11-2020","24:00",24.20669,"R","ugm-3"
"20-12-2020","01:00",11.07624,"R","ugm-3"
"20-12-2020","02:00",6.68385,"R","ugm-3"
"20-12-2020","03:00",3.98311,"R","ugm-3"
"20-12-2020","04:00",7.07171,"R","ugm-3"
"20-12-2020","05:00",5.55086,"R","ugm-3"
"20-12-2020","06:00",4.17831,"R","ugm-3"
"20-12-2020","07:00",10.07991,"R","ugm-3"
"20-12-2020","08:00",15.73832,"R","ugm-3"
"20-12-2020","09:00",23.4188,"R","ugm-3"
"20-12-2020","10:00",27.72457,"R","ugm-3"
"20-12-2020","11:00",14.54919,"R","ugm-3"
"20-12-2020","12:00",18.49119,"R","ugm-3"
"20-12-2020","13:00",13.68364,"R","ugm-3"
"20-12-2020","14:00",13.0908,"R","ugm-3"
"20-12-2020","15:00",16.18013,"R","ugm-3"
"20-12-2020","16:00",24.63489,"R","ugm-3"
"20-12-2020","17:00",26.57204,"R","ugm-3"
"20-12-2020","18:00",40.47063,"R","ugm-3"
"20-12-2020","19:00",28.46953,"R","ugm-3"
"20-12-2020","20:00",40.22402,"R","ugm-3"
"20-12-2020","21:00",24.59832,"R","ugm-3"
"20-12-2020","22:00",25.15315,"R","ugm-3"
"20-12-2020","23:00",24.73669,"R","ugm-3"
"20-12-2020","24:00",6.04012,"R","ugm-3"
"03-01-2021","01:00",16.80911,"R","ugm-3"
"03-01-2021","02:00",13.69436,"R","ugm-3"
"03-01-2021","03:00",14.05376,"R","ugm-3"
"03-01-2021","04:00",12.3019,"R","ugm-3"
"03-01-2021","05:00",7.54159,"R","ugm-3"
"03-01-2021","06:00",6.39704,"R","ugm-3"
"03-01-2021","07:00",9.31528,"R","ugm-3"
"03-01-2021","08:00",8.64045,"R","ugm-3"
"03-01-2021","09:00",12.33335,"R","ugm-3"
"03-01-2021","10:00",13.36586,"R","ugm-3"
"03-01-2021","11:00",14.12436,"R","ugm-3"
"03-01-2021","12:00",15.71733,"R","ugm-3"
"03-01-2021","13:00",14.16492,"R","ugm-3"
"03-01-2021","14:00",17.71625,"R","ugm-3"
"03-01-2021","15:00",17.03501,"R","ugm-3"
"03-01-2021","16:00",21.60293,"R","ugm-3"
"03-01-2021","17:00",34.4018,"R","ugm-3"
"03-01-2021","18:00",29.14762,"R","ugm-3"
"03-01-2021","19:00",20.63536,"R","ugm-3"
"03-01-2021","20:00",15.63518,"R","ugm-3"
"03-01-2021","21:00",18.40812,"R","ugm-3"
"03-01-2021","22:00",20.71647,"R","ugm-3"
"03-01-2021","23:00",16.81065,"R","ugm-3"
"03-01-2021","24:00",16.77523,"R","ugm-3"
"29-11-2021","01:00",9.09626,"R","ugm-3"
"29-11-2021","02:00",9.23172,"R","ugm-3"
"29-11-2021","03:00",6.46521,"R","ugm-3"
"29-11-2021","04:00",8.29782,"R","ugm-3"
"29-11-2021","05:00",10.33399,"R","ugm-3"
"29-11-2021","06:00",11.76335,"R","ugm-3"
"29-11-2021","07:00",24.26699,"R","ugm-3"
"29-11-2021","08:00",32.63022,"R","ugm-3"
"29-11-2021","09:00",47.27889,"R","ugm-3"
"29-11-2021","10:00",37.82932,"R","ugm-3"
"29-11-2021","11:00",37.07974,"R","ugm-3"
"29-11-2021","12:00",40.13807,"R","ugm-3"
"29-11-2021","13:00",39.23648,"R","ugm-3"
"29-11-2021","14:00",53.78023,"R","ugm-3"
"29-11-2021","15:00",58.49056,"R","ugm-3"
"29-11-2021","16:00",60.07934,"R","ugm-3"
"29-11-2021","17:00",74.24928,"R","ugm-3"
"29-11-2021","18:00",73.31369,"R","ugm-3"
"29-11-2021","19:00",70.89289,"R","ugm-3"
"29-11-2021","20:00",49.09282,"R","ugm-3"
"29-11-2021","21:00",43.68894,"R","ugm-3"
"29-11-2021","22:00",34.124,"R","ugm-3"
"29-11-2021","23:00",19.61287,"R","ugm-3"
"29-11-2021","24:00",17.41752,"R","ugm-3"
"25-07-2022","01:00",3.30733,"R","ugm-3"
"25-07-2022","02:00",7.37569,"R","ugm-3"
"25-07-2022","03:00",4.94314,"R","ugm-3"
"25-07-2022","04:00",8.21211,"R","ugm-3"
"25-07-2022","05:00",10.44291,"R","ugm-3"
"25-07-2022","06:00",11.77378,"R","ugm-3"
"25-07-2022","07:00",16.63555,"R","ugm-3"
"25-07-2022","08:00",14.59063,"R","ugm-3"
"25-07-2022","09:00",12.50568,"R","ugm-3"
"25-07-2022","10:00",14.66768,"R","ugm-3"
"25-07-2022","11:00",17.69819,"R","ugm-3"
"25-07-2022","12:00",14.47387,"R","ugm-3"
"25-07-2022","13:00",13.66292,"R","ugm-3"
"25-07-2022","14:00",14.882,"R","ugm-3"
"25-07-2022","15:00",12.3132,"R","ugm-3"
"25-07-2022","16:00",20.08212,"R","ugm-3"
"25-07-2022","17:00",20.90697,"R","ugm-3"
"25-07-2022","18:00",18.8842,"R","ugm-3"
"25-07-2022","19:00",16.8803,"R","ugm-3"
"25-07-2022","20:00",9.3958,"R","ugm-3"
"25-07-2022","21:00",16.10242,"R","ugm-3"
"25-07-2022","22:00",10.78522,"R","ugm-3"
"25-07-2022","23:00",5.5378,"R","ugm-3"
"25-07-2022","24:00",9.04655,"R","ugm-3"
"24-07-2023","01:00",2.31823,"R","ugm-3"
"24-07-2023","02:00",11.97174,"R","ugm-3"
"24-07-2023","03:00",2.33481,"R","ugm-3"
"24-07-2023","04:00",5.81207,"R","ugm-3"
"24-07-2023","05:00",10.87917,"R","ugm-3"
"24-07-2023","06:00",18.82722,"R","ugm-3"
"24-07-2023","07:00",26.67561,"R","ugm-3"
"24-07-2023","08:00",27.71871,"R","ugm-3"
"24-07-2023","09:00",25.63242,"R","ugm-3"
"24-07-2023","10:00",17.1379,"R","ugm-3"
"24-07-2023","11:00",17.23711,"R","ugm-3"
"24-07-2023","12:00",15.54838,"R","ugm-3"
"24-07-2023","13:00",16.7902,"R","ugm-3"
"24-07-2023","14:00",15.84667,"R","ugm-3"
"24-07-2023","15:00",26.62632,"R","ugm-3"
"24-07-2023","16:00",18.97621,"R","ugm-3"
"24-07-2023","17:00",21.85761,"R","ugm-3"
"24-07-2023","18:00",18.77777,"R","ugm-3"
"24-07-2023","19:00",21.01316,"R","ugm-3"
"24-07-2023","20:00",26.7261,"R","ugm-3"
"24-07-2023","21:00",22.00691,"R","ugm-3"
"24-07-2023","22:00",26.5276,"R","ugm-3"
"24-07-2023","23:00",15.79725,"R","ugm-3"
"24-07-2023","24:00",6.60704,"R","ugm-3"
